"Año";"Periodo";"Estimación de muertes semanales"
"2015";"Semana 34";"6.801"
"2015";"Semana 35";"6.954"
"2015";"Semana 36";"6.603"
"2015";"Semana 37";"6.660"
"2015";"Semana 38";"6.617"
"2015";"Semana 39";"6.898"
"2015";"Semana 40";"6.813"
"2015";"Semana 41";"7.055"
"2015";"Semana 42";"7.119"
"2015";"Semana 43";"7.267"
"2015";"Semana 44";"7.392"
"2015";"Semana 45";"7.412"
"2015";"Semana 46";"7.325"
"2015";"Semana 47";"7.397"
"2015";"Semana 48";"7.849"
"2015";"Semana 49";"8.080"
"2015";"Semana 50";"8.032"
"2015";"Semana 51";"8.342"
"2015";"Semana 52";"8.031"
"2015";"Semana 53";"8.427"
"2016";"Semana 1";"8.658"
"2016";"Semana 2";"8.671"
"2016";"Semana 3";"8.791"
"2016";"Semana 4";"8.491"
"2016";"Semana 5";"8.461"
"2016";"Semana 6";"8.556"
"2016";"Semana 7";"8.479"
"2016";"Semana 8";"8.670"
"2016";"Semana 9";"8.645"
"2016";"Semana 10";"8.653"
"2016";"Semana 11";"8.811"
"2016";"Semana 12";"8.291"
"2016";"Semana 13";"8.375"
"2016";"Semana 14";"7.998"
"2016";"Semana 15";"7.859"
"2016";"Semana 16";"7.589"
"2016";"Semana 17";"7.462"
"2016";"Semana 18";"7.606"
"2016";"Semana 19";"7.374"
"2016";"Semana 20";"7.533"
"2016";"Semana 21";"7.304"
"2016";"Semana 22";"7.255"
"2016";"Semana 23";"7.576"
"2016";"Semana 24";"7.140"
"2016";"Semana 25";"7.173"
"2016";"Semana 26";"7.345"
"2016";"Semana 27";"7.505"
"2016";"Semana 28";"7.423"
"2016";"Semana 29";"7.377"
"2016";"Semana 30";"7.295"
"2016";"Semana 31";"7.425"
"2016";"Semana 32";"7.233"
"2016";"Semana 33";"7.102"
"2016";"Semana 34";"7.184"
"2016";"Semana 35";"7.100"
"2016";"Semana 36";"7.203"
"2016";"Semana 37";"6.641"
"2016";"Semana 38";"6.956"
"2016";"Semana 39";"7.036"
"2016";"Semana 40";"7.072"
"2016";"Semana 41";"7.036"
"2016";"Semana 42";"7.185"
"2016";"Semana 43";"7.512"
"2016";"Semana 44";"7.244"
"2016";"Semana 45";"7.775"
"2016";"Semana 46";"8.076"
"2016";"Semana 47";"8.090"
"2016";"Semana 48";"8.321"
"2016";"Semana 49";"8.124"
"2016";"Semana 50";"8.612"
"2016";"Semana 51";"8.980"
"2016";"Semana 52";"9.855"
"2017";"Semana 1";"10.726"
"2017";"Semana 2";"11.414"
"2017";"Semana 3";"11.334"
"2017";"Semana 4";"11.068"
"2017";"Semana 5";"10.636"
"2017";"Semana 6";"9.660"
"2017";"Semana 7";"9.017"
"2017";"Semana 8";"8.670"
"2017";"Semana 9";"8.371"
"2017";"Semana 10";"8.213"
"2017";"Semana 11";"7.906"
"2017";"Semana 12";"7.875"
"2017";"Semana 13";"7.827"
"2017";"Semana 14";"7.814"
"2017";"Semana 15";"7.800"
"2017";"Semana 16";"7.574"
"2017";"Semana 17";"7.661"
"2017";"Semana 18";"7.520"
"2017";"Semana 19";"7.622"
"2017";"Semana 20";"7.494"
"2017";"Semana 21";"7.666"
"2017";"Semana 22";"7.092"
"2017";"Semana 23";"7.067"
"2017";"Semana 24";"7.819"
"2017";"Semana 25";"7.991"
"2017";"Semana 26";"7.137"
"2017";"Semana 27";"7.156"
"2017";"Semana 28";"7.214"
"2017";"Semana 29";"7.259"
"2017";"Semana 30";"7.110"
"2017";"Semana 31";"7.596"
"2017";"Semana 32";"7.186"
"2017";"Semana 33";"7.118"
"2017";"Semana 34";"7.219"
"2017";"Semana 35";"7.013"
"2017";"Semana 36";"6.680"
"2017";"Semana 37";"6.730"
"2017";"Semana 38";"7.091"
"2017";"Semana 39";"7.367"
"2017";"Semana 40";"7.388"
"2017";"Semana 41";"7.234"
"2017";"Semana 42";"7.392"
"2017";"Semana 43";"7.308"
"2017";"Semana 44";"7.511"
"2017";"Semana 45";"7.632"
"2017";"Semana 46";"8.063"
"2017";"Semana 47";"8.169"
"2017";"Semana 48";"8.257"
"2017";"Semana 49";"8.620"
"2017";"Semana 50";"9.262"
"2017";"Semana 51";"9.628"
"2017";"Semana 52";"10.412"
"2018";"Semana 1";"11.204"
"2018";"Semana 2";"10.905"
"2018";"Semana 3";"10.981"
"2018";"Semana 4";"10.324"
"2018";"Semana 5";"9.893"
"2018";"Semana 6";"10.015"
"2018";"Semana 7";"10.105"
"2018";"Semana 8";"9.656"
"2018";"Semana 9";"9.599"
"2018";"Semana 10";"9.203"
"2018";"Semana 11";"8.862"
"2018";"Semana 12";"8.616"
"2018";"Semana 13";"8.628"
"2018";"Semana 14";"8.414"
"2018";"Semana 15";"8.335"
"2018";"Semana 16";"8.112"
"2018";"Semana 17";"7.735"
"2018";"Semana 18";"7.359"
"2018";"Semana 19";"7.595"
"2018";"Semana 20";"7.511"
"2018";"Semana 21";"7.527"
"2018";"Semana 22";"7.306"
"2018";"Semana 23";"7.109"
"2018";"Semana 24";"7.154"
"2018";"Semana 25";"7.713"
"2018";"Semana 26";"7.698"
"2018";"Semana 27";"7.305"
"2018";"Semana 28";"7.366"
"2018";"Semana 29";"7.186"
"2018";"Semana 30";"7.155"
"2018";"Semana 31";"7.731"
"2018";"Semana 32";"8.003"
"2018";"Semana 33";"7.194"
"2018";"Semana 34";"7.015"
"2018";"Semana 35";"6.927"
"2018";"Semana 36";"6.906"
"2018";"Semana 37";"6.834"
"2018";"Semana 38";"7.153"
"2018";"Semana 39";"7.230"
"2018";"Semana 40";"7.210"
"2018";"Semana 41";"7.437"
"2018";"Semana 42";"7.350"
"2018";"Semana 43";"7.327"
"2018";"Semana 44";"7.794"
"2018";"Semana 45";"8.012"
"2018";"Semana 46";"7.999"
"2018";"Semana 47";"7.932"
"2018";"Semana 48";"7.929"
"2018";"Semana 49";"8.051"
"2018";"Semana 50";"8.312"
"2018";"Semana 51";"8.427"
"2018";"Semana 52";"8.650"
"2019";"Semana 1";"9.127"
"2019";"Semana 2";"10.025"
"2019";"Semana 3";"10.476"
"2019";"Semana 4";"10.141"
"2019";"Semana 5";"9.964"
"2019";"Semana 6";"9.686"
"2019";"Semana 7";"9.363"
"2019";"Semana 8";"9.216"
"2019";"Semana 9";"8.920"
"2019";"Semana 10";"8.595"
"2019";"Semana 11";"8.205"
"2019";"Semana 12";"8.027"
"2019";"Semana 13";"8.171"
"2019";"Semana 14";"8.087"
"2019";"Semana 15";"8.055"
"2019";"Semana 16";"7.801"
"2019";"Semana 17";"7.759"
"2019";"Semana 18";"7.744"
"2019";"Semana 19";"7.731"
"2019";"Semana 20";"7.536"
"2019";"Semana 21";"7.436"
"2019";"Semana 22";"7.618"
"2019";"Semana 23";"7.508"
"2019";"Semana 24";"7.016"
"2019";"Semana 25";"7.404"
"2019";"Semana 26";"7.570"
"2019";"Semana 27";"8.050"
"2019";"Semana 28";"7.463"
"2019";"Semana 29";"7.301"
"2019";"Semana 30";"7.464"
"2019";"Semana 31";"7.136"
"2019";"Semana 32";"7.317"
"2019";"Semana 33";"7.128"
"2019";"Semana 34";"6.920"
"2019";"Semana 35";"6.898"
"2019";"Semana 36";"6.904"
"2019";"Semana 37";"6.939"
"2019";"Semana 38";"6.996"
"2019";"Semana 39";"7.027"
"2019";"Semana 40";"6.978"
"2019";"Semana 41";"7.312"
"2019";"Semana 42";"7.314"
"2019";"Semana 43";"7.543"
"2019";"Semana 44";"7.698"
"2019";"Semana 45";"7.677"
"2019";"Semana 46";"8.036"
"2019";"Semana 47";"8.217"
"2019";"Semana 48";"8.328"
"2019";"Semana 49";"8.021"
"2019";"Semana 50";"8.340"
"2019";"Semana 51";"8.393"
"2019";"Semana 52";"8.333"
"2020";"Semana 1";"8.655"
"2020";"Semana 2";"9.345"
"2020";"Semana 3";"9.873"
"2020";"Semana 4";"9.887"
"2020";"Semana 5";"9.889"
"2020";"Semana 6";"9.090"
"2020";"Semana 7";"8.744"
"2020";"Semana 8";"8.354"
"2020";"Semana 9";"8.300"
"2020";"Semana 10";"8.382"
"2020";"Semana 11";"9.402"
"2020";"Semana 12";"12.726"
"2020";"Semana 13";"19.682"
"2020";"Semana 14";"20.809"
"2020";"Semana 15";"17.193"
"2020";"Semana 16";"13.158"
"2020";"Semana 17";"10.362"
"2020";"Semana 18";"8.930"
"2020";"Semana 19";"8.369"
"2020";"Semana 20";"7.470"
"2020";"Semana 21";"7.546"
"2020";"Semana 22";"7.518"
"2020";"Semana 23";"7.040"
"2020";"Semana 24";"6.742"
"2020";"Semana 25";"6.938"
"2020";"Semana 26";"7.400"
"2020";"Semana 27";"7.841"
"2020";"Semana 28";"7.855"
"2020";"Semana 29";"7.725"
"2020";"Semana 30";"7.942"
"2020";"Semana 31";"8.644"
"2020";"Semana 32";"8.536"
"2020";"Semana 33";"8.295"
"2020";"Semana 34";"8.012"
"2020";"Semana 35";"8.068"
"2020";"Semana 36";"7.906"
"2020";"Semana 37";"8.182"
"2020";"Semana 38";"8.338"
"2020";"Semana 39";"8.289"
"2020";"Semana 40";"8.347"
"2020";"Semana 41";"8.806"
"2020";"Semana 42";"8.773"
"2020";"Semana 43";"9.712"
"2020";"Semana 44";"9.852"
"2020";"Semana 45";"10.599"
"2020";"Semana 46";"10.265"
"2020";"Semana 47";"9.948"
"2020";"Semana 48";"9.764"
"2020";"Semana 49";"9.775"
"2020";"Semana 50";"9.693"
"2020";"Semana 51";"9.538"
"2020";"Semana 52";"9.172"
"2020";"Semana 53";"9.345"
"2021";"Semana 1";"10.063"
"2021";"Semana 2";"11.048"
;;
;;
"Métrica":"Estimación de muertes semanales"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/estimacion-muertes-semanales-cualquier-causa-espana/148d86e3-cf82-4b83-bedb-ce12f71c3510"
"Titulo":"Estimación de muertes semanales por cualquier causa en España"
"Subtitulo":""
