"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","75-84 anos","≥ 85 anos","Desconhecido"
"Jan-01","2","0","0","0","1","7","17","25","46","131","177","1"
"Jan-02","0","0","2","0","2","8","11","29","66","128","167","0"
"Jan-03","2","0","1","1","3","5","13","34","56","112","189","0"
"Jan-04","2","0","1","1","5","6","19","30","59","140","203","0"
"Jan-05","1","0","0","1","1","4","22","27","55","147","194","0"
"Jan-06","2","0","1","0","2","6","20","26","57","141","191","0"
"Jan-07","1","0","0","1","0","4","19","28","65","125","176","0"
"Jan-08","4","0","0","1","2","6","13","33","58","140","155","0"
"Jan-09","0","0","1","1","1","5","15","24","56","153","192","1"
"Jan-10","1","0","0","1","3","7","13","40","57","141","177","1"
"Jan-11","1","0","1","0","4","6","11","23","51","148","190","0"
"Jan-12","0","0","0","0","2","6","13","37","63","134","200","0"
"Jan-13","4","0","0","2","4","6","14","34","67","151","216","0"
"Jan-14","1","1","0","1","0","7","13","31","74","139","194","0"
"Jan-15","0","0","0","2","3","11","8","30","53","146","208","0"
"Jan-16","2","0","0","1","2","6","14","27","50","134","211","0"
"Jan-17","3","0","1","1","3","3","19","32","46","134","171","1"
"Jan-18","0","0","0","0","0","1","17","33","58","143","189","0"
"Jan-19","1","0","0","1","0","10","15","37","55","132","173","0"
"Jan-20","0","0","0","1","3","5","17","38","55","167","200","0"
"Jan-21","0","1","0","0","2","5","18","41","51","143","173","1"
"Jan-22","2","0","0","0","4","5","13","31","61","150","176","0"
"Jan-23","1","0","0","2","2","6","20","32","49","125","174","1"
"Jan-24","0","1","0","1","4","6","10","30","61","146","186","0"
"Jan-25","0","1","0","1","0","5","18","30","53","144","190","1"
"Jan-26","0","0","0","5","1","7","17","30","54","125","173","0"
"Jan-27","0","0","0","1","2","7","17","24","62","139","187","0"
"Jan-28","4","0","0","0","1","6","18","31","61","125","161","1"
"Jan-29","0","0","0","1","1","6","8","32","58","154","187","2"
"Jan-30","0","0","1","0","3","6","13","30","53","130","175","0"
"Jan-31","0","0","0","1","1","5","11","27","47","150","165","0"
"Fev-01","0","0","0","0","2","7","15","25","54","121","161","0"
"Fev-02","0","0","1","0","1","1","19","25","54","141","181","0"
"Fev-03","0","0","1","1","1","7","12","21","62","125","168","0"
"Fev-04","3","0","0","1","2","5","14","24","56","118","184","0"
"Fev-05","1","0","0","0","1","4","15","30","47","123","187","0"
"Fev-06","0","0","1","0","5","6","19","39","49","139","167","0"
"Fev-07","0","1","0","0","0","5","12","34","55","120","177","1"
"Fev-08","1","0","0","0","1","4","18","23","43","130","197","0"
"Fev-09","1","0","0","2","3","7","9","30","63","166","169","0"
"Fev-10","1","1","1","0","1","6","16","35","52","140","178","0"
"Fev-11","0","0","0","0","2","6","19","30","51","136","197","0"
"Fev-12","0","0","0","1","2","4","9","32","66","140","169","0"
"Fev-13","2","0","1","0","2","4","21","23","47","120","197","1"
"Fev-14","0","1","0","1","1","11","11","29","45","135","171","0"
"Fev-15","0","0","0","1","1","3","15","32","48","118","198","0"
"Fev-16","0","0","0","1","1","3","13","28","53","119","156","0"
"Fev-17","1","0","0","1","1","5","18","28","40","124","141","0"
"Fev-18","0","1","0","1","1","4","17","25","56","126","179","0"
"Fev-19","1","1","0","1","0","5","11","18","55","153","157","0"
"Fev-20","2","1","0","1","2","4","9","16","65","111","170","0"
"Fev-21","1","0","2","0","2","5","11","26","50","128","157","1"
"Fev-22","3","0","0","0","2","5","13","25","47","116","167","0"
"Fev-23","1","1","1","0","2","5","5","24","61","137","168","0"
"Fev-24","1","0","0","0","2","5","16","30","52","120","149","0"
"Fev-25","0","0","0","1","5","10","18","33","55","133","158","1"
"Fev-26","0","0","1","2","2","6","13","27","50","100","155","0"
"Fev-27","0","0","0","1","1","2","14","34","74","142","143","0"
"Fev-28","2","0","1","1","1","3","15","18","52","135","154","0"
