"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","75-84 anos","≥ 85 anos","Desconhecido"
"Jan-01","0","0","0","1","2","7","13","27","60","118","147","0"
"Jan-02","0","0","2","0","2","6","18","27","71","126","142","0"
"Jan-03","2","0","1","1","6","7","20","35","61","109","157","0"
"Jan-04","1","0","0","1","1","5","20","23","47","97","132","0"
"Jan-05","0","0","0","0","3","2","15","32","54","114","139","0"
"Jan-06","2","1","1","1","4","7","12","27","56","119","130","0"
"Jan-07","1","1","2","0","2","6","13","34","55","112","139","1"
"Jan-08","2","0","0","0","1","7","18","26","47","86","147","2"
"Jan-09","1","0","0","2","2","3","14","25","46","90","154","0"
"Jan-10","0","0","1","2","3","4","14","22","46","106","128","0"
"Jan-11","0","0","0","2","0","1","22","29","55","112","136","0"
"Jan-12","1","0","1","0","4","4","12","29","44","105","132","0"
"Jan-13","1","1","0","0","3","4","19","37","45","103","140","0"
"Jan-14","1","0","0","2","2","6","23","28","49","135","133","0"
"Jan-15","0","0","0","1","2","9","8","30","41","115","132","0"
"Jan-16","0","0","0","1","3","6","9","28","34","100","105","0"
"Jan-17","0","0","0","2","2","6","16","21","42","108","130","1"
"Jan-18","1","0","0","1","6","5","17","20","51","94","133","0"
"Jan-19","0","0","0","1","3","2","14","27","40","125","121","0"
"Jan-20","1","0","0","1","3","2","17","23","50","124","124","0"
"Jan-21","1","0","0","0","0","8","15","32","42","107","123","1"
"Jan-22","1","1","0","0","4","6","15","28","59","104","135","2"
"Jan-23","0","0","0","0","2","6","12","25","44","88","130","0"
"Jan-24","0","0","0","0","3","8","14","21","36","115","141","0"
"Jan-25","1","1","0","0","1","6","10","31","51","102","144","0"
"Jan-26","1","0","0","0","2","7","17","23","47","100","124","0"
"Jan-27","0","0","0","1","2","8","11","27","54","117","152","0"
"Jan-28","2","0","0","0","4","9","14","20","46","108","136","0"
"Jan-29","1","1","0","0","1","8","14","26","50","107","121","0"
"Jan-30","0","0","1","1","4","7","11","31","42","116","122","0"
"Jan-31","0","1","0","1","0","4","12","23","60","118","145","0"
"Fev-01","1","0","0","1","1","6","13","26","45","119","120","0"
"Fev-02","1","1","0","1","1","5","16","23","48","110","140","0"
"Fev-03","0","0","1","1","2","3","10","27","39","113","140","0"
"Fev-04","2","0","0","5","0","4","17","19","54","100","133","0"
