"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","75-84 anos","≥ 85 anos","Desconhecido"
"Jan-01","1","0","1","2","0","4","14","26","50","108","165","0"
"Jan-02","0","0","1","0","1","6","6","35","56","115","164","1"
"Jan-03","0","0","0","2","3","1","15","25","49","107","164","1"
"Jan-04","1","0","0","0","2","4","11","31","38","116","168","0"
"Jan-05","0","0","1","1","1","5","15","27","53","115","148","1"
"Jan-06","0","1","1","1","0","10","17","37","52","113","177","0"
"Jan-07","0","0","0","1","3","4","12","24","61","127","181","1"
"Jan-08","1","0","0","1","1","3","15","21","52","99","183","0"
"Jan-09","0","0","0","1","3","5","11","33","58","117","188","1"
"Jan-10","1","0","0","1","1","6","14","33","50","123","208","0"
"Jan-11","2","0","1","0","3","6","12","30","61","115","178","0"
"Jan-12","0","0","0","1","1","6","20","29","67","132","175","0"
"Jan-13","2","0","0","1","0","4","11","31","55","130","182","0"
"Jan-14","2","0","0","1","2","6","19","37","70","156","190","0"
"Jan-15","2","0","0","1","0","3","16","39","56","122","175","0"
"Jan-16","1","0","1","4","1","7","15","33","63","132","187","1"
"Jan-17","0","0","0","0","0","3","15","24","46","130","194","1"
"Jan-18","2","0","0","1","0","4","9","39","46","130","184","0"
"Jan-19","0","0","0","1","2","4","11","19","54","123","189","0"
"Jan-20","1","0","0","1","2","7","16","31","55","135","166","0"
"Jan-21","1","0","1","0","3","4","16","27","52","120","184","0"
"Jan-22","0","0","0","2","0","4","17","31","46","129","206","1"
"Jan-23","0","0","0","1","2","7","22","30","53","110","218","2"
"Jan-24","2","0","1","0","2","7","13","38","59","135","200","0"
"Jan-25","1","0","0","1","7","7","9","32","53","121","208","0"
"Jan-26","3","0","0","3","1","2","11","26","50","123","197","0"
"Jan-27","1","1","0","0","1","8","13","34","56","109","210","0"
"Jan-28","2","0","0","2","3","6","10","25","60","130","196","0"
"Jan-29","2","0","1","0","2","5","11","37","55","124","208","0"
"Jan-30","5","0","0","1","1","4","14","30","56","136","178","0"
"Jan-31","0","0","0","1","2","5","12","30","64","128","189","0"
"Fev-01","1","0","1","2","2","4","15","31","49","116","180","0"
"Fev-02","0","0","0","1","2","5","19","26","45","117","183","0"
"Fev-03","0","1","0","0","1","8","18","24","42","115","160","1"
"Fev-04","0","0","0","1","1","4","12","36","63","107","157","1"
"Fev-05","1","1","0","0","1","4","15","38","68","119","168","0"
"Fev-06","1","0","0","1","1","1","15","27","52","124","205","0"
"Fev-07","0","0","2","0","0","8","11","23","45","117","188","0"
"Fev-08","1","0","1","0","1","6","15","27","53","105","174","0"
"Fev-09","1","0","0","1","2","1","21","24","58","105","190","1"
"Fev-10","0","0","0","2","0","4","17","21","48","117","170","2"
"Fev-11","2","1","0","1","0","2","23","37","55","139","187","0"
"Fev-12","1","1","1","3","3","3","10","26","49","110","181","0"
"Fev-13","1","0","0","0","1","6","12","23","55","113","155","1"
"Fev-14","0","1","0","0","0","9","23","26","54","105","171","0"
"Fev-15","2","0","0","1","0","4","12","21","56","131","164","0"
"Fev-16","1","0","1","5","3","3","19","23","47","106","169","1"
"Fev-17","0","0","0","0","1","1","22","26","49","106","158","0"
"Fev-18","0","0","0","1","0","3","7","26","52","100","179","0"
"Fev-19","1","0","0","1","3","3","15","18","48","109","197","0"
"Fev-20","2","2","0","1","2","6","10","31","42","84","153","0"
"Fev-21","1","0","2","1","1","2","13","35","53","104","165","0"
"Fev-22","0","1","1","3","2","3","16","28","56","84","152","0"
"Fev-23","1","0","0","0","3","4","7","37","50","109","169","1"
"Fev-24","1","1","0","1","5","6","8","25","40","102","166","0"
"Fev-25","0","0","0","2","1","6","11","26","43","99","165","1"
"Fev-26","0","0","1","1","4","6","13","24","41","105","165","1"
"Fev-27","0","0","0","0","1","2","11","18","43","112","144","0"
"Fev-28","0","0","0","0","3","2","9","27","46","112","153","1"
"Mar-01","2","1","0","0","0","3","12","20","46","119","148","1"
"Mar-02","0","1","0","4","3","3","17","30","37","100","145","0"
"Mar-03","2","0","0","0","2","5","7","23","53","96","166","1"
"Mar-04","2","0","0","0","1","4","20","30","56","110","129","1"
"Mar-05","0","0","0","1","3","3","10","27","57","101","132","1"
"Mar-06","0","0","0","1","1","3","10","26","43","99","135","0"
"Mar-07","0","0","1","0","1","4","11","19","55","95","148","1"
"Mar-08","1","0","0","0","6","4","12","32","49","85","144","0"
"Mar-09","1","0","1","1","3","7","21","27","35","99","144","0"
"Mar-10","0","0","1","1","1","5","9","26","44","104","143","0"
"Mar-11","0","1","0","2","3","4","11","21","51","104","137","0"
"Mar-12","1","0","0","1","1","2","13","28","58","101","133","0"
"Mar-13","0","0","0","0","3","6","14","33","37","89","138","0"
"Mar-14","1","0","0","0","0","1","12","25","52","97","147","0"
"Mar-15","0","1","0","2","1","2","15","20","31","75","124","0"
"Mar-16","1","0","1","1","3","3","13","18","59","104","135","2"
"Mar-17","0","0","0","1","0","6","14","24","42","93","137","0"
"Mar-18","3","0","0","1","2","0","15","23","54","75","123","0"
"Mar-19","0","0","0","0","1","5","13","18","60","84","141","0"
"Mar-20","2","0","0","1","1","6","10","31","61","84","137","1"
"Mar-21","1","0","0","0","0","6","15","34","50","87","145","0"
"Mar-22","0","0","1","1","0","1","16","29","53","78","118","0"
"Mar-23","0","0","0","3","4","8","9","24","46","83","142","1"
"Mar-24","0","0","0","1","0","2","11","20","47","85","130","0"
"Mar-25","1","0","0","1","2","4","9","27","46","84","124","0"
"Mar-26","1","0","1","1","1","4","10","26","44","101","129","0"
"Mar-27","2","0","0","1","1","2","17","26","51","103","106","2"
"Mar-28","0","0","0","0","2","3","7","28","36","81","118","0"
"Mar-29","1","0","0","0","1","2","6","18","45","85","125","0"
"Mar-30","2","0","0","0","2","6","16","22","46","106","148","0"
"Mar-31","1","0","0","1","1","4","12","18","53","88","129","0"
"Abr-01","1","0","0","2","3","1","9","24","63","91","136","0"
"Abr-02","1","0","1","1","3","4","2","20","43","93","139","0"
"Abr-03","2","1","0","0","1","1","12","22","42","75","109","1"
"Abr-04","2","0","0","1","2","4","7","23","50","84","112","0"
"Abr-05","0","0","0","0","2","0","9","33","50","83","133","0"
"Abr-06","1","0","1","0","2","4","16","32","43","80","112","0"
"Abr-07","0","0","0","1","6","4","13","35","43","90","133","0"
"Abr-08","0","0","0","1","1","7","15","31","45","98","137","0"
"Abr-09","0","0","0","0","1","6","8","28","43","84","115","0"
"Abr-10","2","0","0","0","0","4","13","33","46","105","120","0"
"Abr-11","0","0","3","0","2","1","8","25","50","90","120","0"
"Abr-12","0","0","0","0","3","3","15","16","46","86","128","1"
"Abr-13","2","0","0","0","2","8","9","33","36","81","122","1"
"Abr-14","1","0","0","0","2","3","7","16","39","87","149","0"
"Abr-15","1","1","0","1","2","3","11","32","37","101","136","0"
"Abr-16","0","0","0","1","1","3","15","34","37","90","132","0"
"Abr-17","0","0","0","0","1","4","15","31","45","99","123","0"
"Abr-18","1","0","0","1","1","3","7","12","59","75","115","0"
"Abr-19","1","0","0","1","1","2","9","24","41","90","119","0"
"Abr-20","2","0","0","0","2","3","12","32","46","82","125","0"
"Abr-21","1","0","0","1","3","5","6","30","44","81","140","0"
"Abr-22","0","0","0","0","1","5","15","31","39","103","132","1"
"Abr-23","0","0","0","1","0","7","16","25","44","85","130","0"
"Abr-24","1","0","0","1","2","8","14","26","43","96","128","0"
"Abr-25","0","0","0","0","1","7","6","20","49","77","109","0"
"Abr-26","2","0","0","2","1","2","15","24","38","87","122","0"
"Abr-27","1","0","0","0","1","5","17","16","38","87","108","1"
"Abr-28","1","0","0","4","2","4","11","26","45","70","142","0"
"Abr-29","1","0","1","0","2","10","16","15","52","77","124","0"
"Abr-30","0","1","0","1","2","3","8","27","45","87","143","0"
"Mai-01","1","0","0","1","1","3","8","23","41","66","130","2"
"Mai-02","2","0","0","0","2","8","12","26","47","71","100","0"
"Mai-03","0","0","0","0","2","1","15","20","40","92","128","0"
"Mai-04","0","0","0","0","4","2","10","27","56","82","129","0"
"Mai-05","0","0","0","0","2","3","12","25","48","87","139","0"
"Mai-06","0","0","0","1","1","2","7","27","37","89","113","0"
"Mai-07","1","1","0","3","1","6","17","26","38","82","135","0"
"Mai-08","1","1","0","1","2","4","12","19","37","79","124","0"
"Mai-09","0","0","1","1","1","2","8","20","49","63","101","0"
"Mai-10","1","0","1","0","2","3","7","24","45","101","152","0"
"Mai-11","3","0","0","1","3","1","6","34","46","73","112","0"
"Mai-12","0","0","0","0","1","4","13","18","41","85","119","0"
"Mai-13","2","0","0","0","0","6","4","29","34","76","121","0"
"Mai-14","2","0","0","0","5","2","11","33","42","81","123","2"
"Mai-15","2","0","1","1","0","7","11","20","57","95","129","1"
"Mai-16","2","0","0","0","1","0","13","24","35","80","129","0"
"Mai-17","1","1","0","1","1","2","11","21","22","66","114","0"
"Mai-18","0","0","0","1","3","3","11","20","35","69","115","2"
"Mai-19","1","0","2","0","2","4","11","22","34","59","125","0"
"Mai-20","0","0","0","0","1","5","11","24","46","74","111","0"
"Mai-21","0","0","1","1","4","7","10","23","40","73","109","0"
"Mai-22","0","0","1","0","1","6","14","25","43","79","107","0"
"Mai-23","0","0","1","1","2","5","10","27","49","65","90","0"
"Mai-24","0","0","0","3","0","2","14","30","40","66","114","0"
"Mai-25","1","0","0","0","0","4","8","32","38","85","131","1"
"Mai-26","1","1","0","0","0","2","10","25","42","85","127","0"
"Mai-27","0","0","0","0","2","4","14","16","46","75","108","0"
"Mai-28","1","0","0","0","0","5","15","21","34","76","113","1"
"Mai-29","1","0","0","0","2","3","6","20","38","74","107","0"
"Mai-30","1","0","0","2","2","4","12","23","47","88","122","0"
"Mai-31","1","0","0","3","3","2","12","20","48","81","114","1"
"Jun-01","1","1","0","0","2","6","11","29","37","83","143","0"
"Jun-02","3","1","0","2","3","1","18","26","46","73","113","0"
"Jun-03","1","2","0","1","2","3","8","28","38","78","126","0"
"Jun-04","0","0","0","0","2","3","13","16","51","92","122","0"
"Jun-05","1","0","0","0","3","2","11","32","41","67","120","0"
"Jun-06","1","0","0","1","1","2","9","22","34","71","109","0"
"Jun-07","1","0","0","0","2","3","10","25","42","63","102","1"
"Jun-08","1","0","0","1","1","6","16","19","36","73","103","0"
"Jun-09","0","0","0","1","2","3","10","23","36","80","77","0"
"Jun-10","0","0","0","0","0","4","11","22","32","74","112","1"
"Jun-11","0","0","0","1","2","5","12","26","44","68","120","0"
"Jun-12","1","0","0","0","1","5","9","20","40","71","103","0"
"Jun-13","0","0","0","0","0","5","14","16","41","78","112","0"
"Jun-14","0","0","0","0","1","4","16","22","45","67","108","0"
"Jun-15","1","0","0","0","1","3","16","26","37","95","132","1"
