"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","75-84 anos","≥ 85 anos","Desconhecido"
"Jan-01","0","0","0","3","1","5","17","33","61","121","173","0"
"Jan-02","2","0","0","0","1","9","15","30","63","119","179","0"
"Jan-03","0","0","0","3","4","8","12","34","69","131","189","0"
"Jan-04","1","0","0","1","1","6","11","35","65","122","183","0"
"Jan-05","1","0","3","2","1","3","15","25","44","135","205","0"
"Jan-06","3","0","0","1","1","3","13","30","63","122","168","0"
"Jan-07","0","0","0","0","3","2","12","17","39","104","144","1"
"Jan-08","2","1","1","4","3","6","16","20","54","112","170","0"
"Jan-09","2","1","1","0","3","3","12","29","54","127","174","0"
"Jan-10","0","0","0","1","1","6","19","34","48","124","199","0"
"Jan-11","2","0","2","0","1","4","12","25","50","126","182","1"
"Jan-12","0","0","1","3","1","4","13","26","48","118","154","0"
"Jan-13","0","0","1","1","1","6","14","35","58","117","171","1"
"Jan-14","1","0","0","0","0","6","13","34","57","123","170","0"
"Jan-15","3","0","0","2","1","3","15","36","59","104","171","0"
"Jan-16","2","0","0","0","1","5","11","36","43","144","179","0"
"Jan-17","0","0","0","0","1","3","14","25","54","138","177","0"
"Jan-18","2","0","0","1","2","4","15","15","66","117","166","1"
"Jan-19","0","0","0","1","1","4","12","31","58","131","186","0"
"Jan-20","0","0","0","1","1","4","6","27","55","132","181","0"
"Jan-21","0","0","0","0","1","5","12","20","46","116","175","0"
"Jan-22","0","1","0","0","1","6","10","32","37","118","175","0"
"Jan-23","0","0","0","1","0","0","11","26","61","129","175","0"
"Jan-24","1","0","0","1","4","4","15","35","48","112","178","0"
"Jan-25","0","0","0","3","1","2","9","25","50","107","149","0"
"Jan-26","0","1","0","3","3","4","12","31","59","135","151","0"
"Jan-27","0","0","0","0","3","5","14","36","47","106","161","0"
"Jan-28","0","0","0","1","1","5","19","31","50","109","183","0"
"Jan-29","1","0","3","0","3","5","10","35","55","108","172","0"
"Jan-30","0","0","0","1","2","3","18","25","61","100","172","1"
"Jan-31","0","0","2","2","1","1","11","33","45","114","142","0"
"Fev-01","1","0","0","0","1","5","16","20","57","101","164","0"
"Fev-02","0","0","0","1","1","6","17","27","58","125","154","0"
"Fev-03","1","0","0","0","0","6","6","27","49","124","160","0"
"Fev-04","2","0","2","1","0","3","9","28","47","114","169","0"
"Fev-05","1","0","0","0","2","7","15","38","64","121","175","1"
"Fev-06","0","0","0","1","3","4","17","26","40","123","160","0"
"Fev-07","0","1","0","0","1","8","14","27","59","112","186","0"
"Fev-08","0","0","0","3","3","12","16","26","68","122","155","0"
"Fev-09","0","0","0","0","3","2","13","31","57","111","195","0"
"Fev-10","2","0","0","1","2","4","12","21","42","126","172","0"
"Fev-11","0","0","0","1","2","3","14","26","45","119","178","0"
"Fev-12","1","0","0","0","1","7","17","34","43","121","188","0"
"Fev-13","2","1","0","1","1","3","12","23","64","135","176","0"
"Fev-14","1","0","0","0","2","4","11","43","53","125","176","0"
"Fev-15","2","0","0","0","0","6","15","33","53","119","182","0"
