"Data (mm-dd)","< 1 ano","1-4 anos","5-14 anos","15-24 anos","25-34 anos","35-44 anos","45-54 anos","55-64 anos","65-74 anos","75-84 anos","≥ 85 anos","Desconhecido"
"Jan-01","0","0","0","0","0","4","14","29","66","103","150","0"
"Jan-02","0","0","0","1","2","2","16","38","35","102","118","0"
"Jan-03","0","0","0","0","2","6","21","26","39","117","128","0"
"Jan-04","0","0","0","0","2","8","13","24","46","107","148","0"
"Jan-05","0","1","0","1","1","4","10","43","48","87","133","1"
"Jan-06","1","0","3","0","1","4","17","18","45","88","139","0"
"Jan-07","0","1","1","0","1","6","14","25","39","99","119","0"
"Jan-08","0","0","0","0","2","1","11","26","55","115","152","0"
"Jan-09","1","0","0","3","2","7","14","22","45","103","149","0"
"Jan-10","3","0","0","0","2","2","11","29","33","110","130","0"
"Jan-11","0","0","0","1","2","7","16","31","47","115","124","0"
"Jan-12","1","0","0","1","1","4","15","32","55","112","157","0"
"Jan-13","1","1","0","0","1","7","9","25","42","103","112","0"
"Jan-14","1","0","0","1","1","3","13","34","48","120","146","0"
"Jan-15","3","0","0","0","3","5","17","26","43","113","137","0"
"Jan-16","1","0","0","0","0","7","17","30","38","103","105","0"
"Jan-17","0","0","0","1","0","1","10","20","29","113","128","0"
"Jan-18","1","0","1","3","2","2","19","28","49","106","136","0"
"Jan-19","2","0","0","0","2","6","11","36","57","103","126","0"
"Jan-20","1","0","0","0","1","6","7","34","60","106","137","0"
"Jan-21","1","2","0","3","2","6","18","38","62","114","137","0"
"Jan-22","1","0","1","3","2","7","9","30","40","107","149","0"
"Jan-23","2","0","0","0","3","3","13","28","48","101","158","0"
"Jan-24","2","0","0","2","3","3","8","30","55","98","130","0"
"Jan-25","0","0","0","2","3","4","9","37","58","102","140","0"
"Jan-26","0","0","1","0","0","5","16","28","49","118","112","0"
"Jan-27","1","0","0","0","1","0","11","31","46","111","136","0"
"Jan-28","1","0","2","0","2","5","13","33","48","97","121","0"
"Jan-29","3","0","1","2","2","7","17","21","57","71","113","1"
"Jan-30","0","0","0","0","0","5","13","34","42","103","125","0"
"Jan-31","1","2","0","1","1","4","23","41","57","117","129","0"
"Fev-01","0","0","0","2","1","6","13","34","41","120","134","0"
"Fev-02","1","0","0","0","0","7","11","30","42","104","133","0"
"Fev-03","1","0","0","2","2","4","11","20","60","90","134","0"
"Fev-04","1","0","1","0","2","5","13","20","50","98","125","0"
"Fev-05","0","0","0","1","1","7","7","30","40","93","127","0"
"Fev-06","2","0","0","0","2","3","11","24","44","104","129","1"
"Fev-07","1","0","0","2","1","8","11","24","45","96","145","0"
"Fev-08","0","0","0","1","0","7","9","30","45","93","153","0"
"Fev-09","0","0","1","1","1","5","15","22","46","116","144","0"
"Fev-10","0","0","0","1","0","6","15","28","54","112","120","0"
"Fev-11","0","2","0","0","1","4","10","28","52","117","146","0"
"Fev-12","0","0","0","0","0","4","12","32","52","99","136","0"
"Fev-13","2","0","0","2","2","2","12","25","50","100","140","0"
"Fev-14","1","0","1","1","0","3","19","15","46","104","112","0"
"Fev-15","0","0","0","1","5","4","13","15","45","94","131","0"
"Fev-16","3","2","0","1","2","6","11","27","43","80","139","0"
"Fev-17","1","0","0","0","3","4","20","19","53","91","140","0"
"Fev-18","1","0","0","2","2","5","23","28","35","92","149","0"
"Fev-19","0","0","1","2","1","5","19","30","48","104","137","0"
"Fev-20","1","0","0","0","1","4","14","25","48","130","147","0"
"Fev-21","0","1","0","1","4","7","18","34","43","115","129","0"
"Fev-22","2","0","0","1","2","3","20","33","53","117","150","0"
"Fev-23","1","0","1","1","1","3","9","13","46","104","139","0"
"Fev-24","0","0","0","0","1","10","17","23","63","102","128","0"
"Fev-25","2","0","0","0","1","10","12","16","36","104","122","1"
"Fev-26","1","0","0","0","0","9","12","17","49","90","144","0"
"Fev-27","1","0","0","2","0","6","10","27","60","116","108","0"
"Fev-28","0","0","1","2","1","9","14","23","52","87","110","1"
"Fev-29","0","0","0","2","1","3","11","30","49","103","124","0"
"Mar-01","1","0","0","1","0","8","13","28","42","114","138","0"
"Mar-02","1","0","1","1","1","4","10","32","42","113","140","0"
"Mar-03","1","0","0","2","1","5","16","31","55","121","143","0"
"Mar-04","0","0","0","2","0","5","12","27","59","113","118","0"
"Mar-05","0","1","1","1","2","6","13","34","40","114","148","0"
"Mar-06","1","1","1","0","2","6","8","24","41","105","131","0"
"Mar-07","1","0","0","0","4","8","17","19","30","105","125","1"
"Mar-08","1","0","0","0","1","8","11","26","50","126","143","2"
"Mar-09","1","0","0","0","0","10","12","29","56","96","165","0"
"Mar-10","1","0","0","1","0","7","15","28","48","105","131","0"
"Mar-11","0","0","0","0","5","5","17","25","56","104","124","0"
"Mar-12","1","0","0","0","2","2","15","31","46","105","137","0"
"Mar-13","0","0","0","0","1","2","10","32","43","103","140","0"
"Mar-14","0","0","0","1","6","5","17","21","52","99","140","0"
"Mar-15","4","0","0","1","0","5","11","28","56","95","136","1"
"Mar-16","0","0","0","0","2","6","11","22","52","86","109","0"
"Mar-17","1","0","0","1","1","5","14","16","44","89","128","0"
"Mar-18","1","1","0","1","1","6","16","33","48","105","121","2"
"Mar-19","1","0","0","1","1","3","20","25","61","112","135","1"
"Mar-20","0","0","1","1","2","3","18","26","41","101","142","0"
"Mar-21","0","0","0","1","1","7","10","27","44","83","148","0"
"Mar-22","1","0","0","1","1","6","11","27","46","118","126","0"
"Mar-23","1","0","0","1","2","1","22","27","47","105","125","0"
"Mar-24","1","0","0","0","2","3","11","22","41","114","131","0"
"Mar-25","0","0","0","0","0","6","12","21","44","110","140","0"
"Mar-26","1","1","0","1","1","2","11","34","42","97","128","0"
"Mar-27","1","0","0","0","1","6","14","26","43","106","114","0"
"Mar-28","1","0","0","0","1","6","11","16","49","106","131","0"
"Mar-29","0","0","0","1","3","4","9","29","35","98","133","0"
"Mar-30","2","0","0","0","1","7","26","22","38","101","109","0"
"Mar-31","0","0","0","2","0","3","14","27","48","93","127","0"
"Abr-01","0","0","0","2","0","6","17","35","50","87","134","0"
"Abr-02","1","0","0","3","1","6","15","14","45","107","130","0"
"Abr-03","1","1","0","0","2","4","8","18","43","100","131","0"
"Abr-04","0","1","0","1","0","7","9","26","46","92","134","0"
"Abr-05","0","1","0","1","2","3","19","26","47","105","139","0"
"Abr-06","0","0","0","1","1","2","6","25","50","94","129","0"
"Abr-07","0","1","0","1","2","3","14","25","42","98","139","0"
"Abr-08","1","0","0","1","1","9","9","21","42","89","131","0"
"Abr-09","0","0","0","1","0","9","13","29","45","99","138","0"
"Abr-10","1","1","0","1","2","2","17","23","48","95","116","0"
"Abr-11","0","0","0","0","1","6","18","28","57","102","129","0"
"Abr-12","1","0","0","1","2","8","18","25","48","100","108","0"
"Abr-13","1","0","1","0","2","1","16","20","44","88","110","0"
"Abr-14","1","0","0","1","0","7","11","24","60","99","137","0"
"Abr-15","1","0","0","0","1","6","15","22","35","92","123","0"
"Abr-16","0","0","1","1","3","4","15","24","38","92","134","1"
"Abr-17","1","0","0","0","1","6","13","23","41","88","120","0"
"Abr-18","1","0","0","0","1","4","21","19","50","100","92","0"
"Abr-19","1","0","0","1","2","7","6","21","39","86","128","0"
"Abr-20","0","0","0","0","1","2","13","24","46","106","132","0"
"Abr-21","2","0","1","0","0","4","15","16","46","66","106","0"
"Abr-22","1","0","0","0","3","6","20","16","32","81","116","0"
"Abr-23","0","0","0","1","1","3","10","24","57","80","122","0"
"Abr-24","0","1","0","0","2","9","11","24","53","66","96","0"
"Abr-25","1","0","0","1","2","1","10","18","40","94","110","0"
"Abr-26","0","0","0","2","1","6","15","37","48","89","120","0"
"Abr-27","1","1","0","0","0","3","8","29","39","89","122","0"
"Abr-28","0","1","1","1","1","8","9","23","39","101","131","0"
"Abr-29","1","0","0","1","2","4","8","16","50","94","92","0"
"Abr-30","0","0","0","0","4","1","10","26","55","85","119","0"
"Mai-01","1","0","0","1","2","3","6","26","36","79","107","0"
"Mai-02","0","0","1","2","1","10","12","21","41","87","101","0"
"Mai-03","2","0","0","0","0","6","14","24","51","93","88","0"
"Mai-04","0","0","0","3","0","3","15","39","46","86","128","0"
"Mai-05","0","0","0","1","1","7","11","14","39","104","107","0"
"Mai-06","0","1","1","0","0","3","9","33","42","86","94","1"
"Mai-07","0","0","0","1","1","4","13","21","40","79","88","1"
"Mai-08","0","0","0","1","0","6","7","23","46","90","106","0"
"Mai-09","0","0","0","0","1","3","10","18","51","89","113","0"
"Mai-10","0","0","0","0","1","3","14","17","47","83","113","0"
"Mai-11","0","0","0","0","1","2","9","24","33","77","101","3"
"Mai-12","0","0","0","0","1","4","5","27","37","96","97","0"
"Mai-13","0","0","1","1","3","6","12","24","47","77","108","0"
"Mai-14","0","0","0","1","1","4","15","27","35","67","102","0"
"Mai-15","0","0","0","2","0","2","16","19","37","79","106","1"
"Mai-16","3","0","0","0","2","3","8","27","59","100","116","0"
"Mai-17","1","1","0","1","3","5","16","25","53","94","128","0"
"Mai-18","1","0","0","1","2","4","11","24","43","76","99","0"
"Mai-19","0","0","0","0","1","3","11","25","50","94","103","0"
"Mai-20","1","0","0","0","6","3","12","30","38","98","121","0"
"Mai-21","0","0","0","2","1","5","13","29","33","92","118","0"
"Mai-22","0","0","0","1","2","4","6","20","45","81","96","0"
"Mai-23","2","0","0","2","1","4","10","23","43","94","116","0"
"Mai-24","3","0","0","1","1","6","14","31","50","65","105","0"
"Mai-25","4","1","0","0","1","5","9","24","49","89","102","0"
"Mai-26","0","0","1","1","2","4","12","29","31","93","98","0"
"Mai-27","0","1","0","1","1","6","6","28","43","83","110","0"
"Mai-28","1","0","0","1","1","6","16","31","40","95","117","0"
"Mai-29","1","0","0","4","0","4","13","26","39","74","101","0"
"Mai-30","0","0","0","0","3","5","10","30","38","88","107","0"
"Mai-31","0","0","0","1","0","4","13","22","51","71","102","0"
"Jun-01","1","0","0","2","0","10","9","31","50","78","116","0"
"Jun-02","1","0","0","0","0","7","18","35","40","78","96","0"
"Jun-03","0","0","0","1","3","2","16","28","45","95","112","0"
"Jun-04","1","0","1","0","1","5","12","26","38","94","126","0"
"Jun-05","0","0","1","0","1","2","14","16","40","96","101","0"
"Jun-06","2","0","0","2","2","5","10","16","36","80","122","0"
"Jun-07","0","0","0","1","6","3","16","26","31","78","119","0"
"Jun-08","0","0","0","0","1","6","10","22","36","95","102","0"
"Jun-09","0","0","0","1","2","4","9","23","46","84","101","0"
"Jun-10","1","0","0","2","0","5","9","24","46","93","114","0"
"Jun-11","2","1","0","1","0","5","8","21","31","86","108","0"
"Jun-12","2","0","0","1","1","5","12","32","34","67","101","0"
"Jun-13","0","0","0","0","2","5","13","11","43","85","104","0"
"Jun-14","1","0","0","0","1","4","16","27","41","82","86","1"
"Jun-15","1","1","0","3","1","11","14","24","42","75","92","0"
"Jun-16","2","1","0","1","0","6","13","20","39","65","90","0"
"Jun-17","2","0","0","1","3","5","11","21","32","91","96","0"
"Jun-18","2","0","0","2","1","13","12","25","44","83","90","1"
"Jun-19","1","0","0","0","3","5","18","15","30","65","108","0"
"Jun-20","2","0","0","0","0","3","11","27","41","81","103","0"
"Jun-21","1","1","1","0","1","5","13","31","40","90","129","0"
"Jun-22","2","0","0","2","1","3","8","17","57","78","112","0"
"Jun-23","0","0","0","2","0","1","8","23","41","74","110","0"
"Jun-24","0","0","0","1","0","2","8","22","34","97","129","0"
"Jun-25","1","0","0","1","1","3","15","25","47","82","105","0"
"Jun-26","0","0","0","1","1","5","11","14","30","86","87","0"
"Jun-27","0","1","2","3","2","3","14","18","55","85","112","0"
"Jun-28","1","0","0","2","0","4","13","18","51","80","95","1"
"Jun-29","0","0","0","0","0","6","14","18","38","78","122","0"
"Jun-30","0","2","0","2","1","6","10","21","37","91","93","0"
"Jul-01","1","0","0","1","1","4","7","23","46","89","101","0"
"Jul-02","1","0","0","0","1","3","9","33","39","72","90","0"
"Jul-03","0","0","0","3","1","5","14","24","41","91","100","0"
"Jul-04","2","0","0","2","0","2","17","20","42","98","132","0"
"Jul-05","0","0","0","0","2","6","11","29","43","82","106","0"
"Jul-06","2","0","0","0","0","2","3","22","41","88","130","0"
"Jul-07","2","0","0","1","1","4","18","22","54","75","90","1"
"Jul-08","0","0","0","1","0","5","12","25","34","84","107","0"
"Jul-09","0","0","0","0","1","1","12","15","46","67","106","0"
"Jul-10","2","0","1","1","1","7","12","22","34","75","98","1"
"Jul-11","0","0","1","2","3","2","11","24","41","97","106","0"
"Jul-12","1","0","0","0","0","3","17","20","26","67","94","0"
"Jul-13","1","0","0","1","1","3","8","26","40","90","115","0"
"Jul-14","0","0","0","0","0","3","16","19","42","87","95","0"
"Jul-15","0","0","0","0","1","3","14","33","45","65","102","0"
"Jul-16","0","0","0","1","0","2","13","31","52","73","129","0"
"Jul-17","1","0","0","1","0","1","18","20","39","106","127","0"
"Jul-18","0","0","0","1","1","8","11","18","38","80","129","0"
"Jul-19","0","0","0","0","2","12","10","21","45","87","134","0"
"Jul-20","2","0","0","1","1","2","21","35","47","80","105","0"
"Jul-21","2","0","1","1","0","4","15","27","51","84","117","1"
"Jul-22","1","0","0","1","2","6","12","21","36","78","94","0"
"Jul-23","0","0","0","0","0","5","12","32","34","67","98","0"
"Jul-24","0","0","0","2","3","2","16","18","42","83","105","0"
"Jul-25","0","0","0","0","3","5","20","26","35","90","113","0"
"Jul-26","1","0","0","1","3","5","9","19","61","84","139","0"
"Jul-27","1","0","1","0","2","8","11","22","50","78","127","0"
"Jul-28","1","1","1","0","1","9","14","22","36","99","139","0"
"Jul-29","1","0","0","0","0","6","11","22","35","90","134","0"
"Jul-30","2","1","0","0","1","3","10","14","36","95","100","0"
"Jul-31","1","0","1","1","2","4","11","16","41","77","111","0"
"Ago-01","1","1","1","2","0","1","13","19","43","85","123","0"
